城市,标题,总价(万),单价(元/平),户型,面积(平),朝向,装修,楼层,年份,小区,区域,链接
北京,南庭新苑北区 东向一居室  有房本 看房方便,130,"25,784元/平",1室1厅,50.42平米,东,简装,15层,2012年,南庭新苑北区,新宫,https://bj.lianjia.com/ershoufang/101134004285.html
北京,首付50万以内就够 ，H户型，视野好，采光佳，诚心,285,"31,182元/平",2室1厅,91.4平米,东 西,简装,高楼层(共28层),2009年,新通国际花园,梨园,https://bj.lianjia.com/ershoufang/101133002812.html
北京,雅善园 南向两居室 业主诚心出售,108,"13,438元/平",2室1厅,80.37平米,南,其他,高楼层(共15层),板楼,雅善园,南中轴机场商务区,https://bj.lianjia.com/ershoufang/101133206464.html
北京,崔村二里双卧朝南两居中间楼层上下楼方便,99,"19,344元/平",2室1厅,51.18平米,南,其他,中楼层(共5层),板楼,崔村二里,杜家坎,https://bj.lianjia.com/ershoufang/101134121052.html
北京,朝阳公园西里北区 3室1厅 南 北,360,"48,323元/平",3室1厅,74.5平米,南 北,简装,高楼层(共6层),1993年,朝阳公园西里北区,农展馆,https://bj.lianjia.com/ershoufang/101131390795.html
北京,京品小区 地铁8号线 南北通透 户型好 无浪费,385,"45,215元/平",2室1厅,85.15平米,南 北,精装,6层,2005年,京品小区,西罗园,https://bj.lianjia.com/ershoufang/101132761626.html
北京,龙湖滟澜新宸东区 3室1厅 南 北,298,"31,428元/平",3室1厅,94.82平米,南 北,简装,高楼层(共13层),板楼,龙湖滟澜新宸东区,沙河,https://bj.lianjia.com/ershoufang/101124995140.html
北京,世纪城总价特低一居室 户型方正 有钥匙 不临街安静,415,"65,957元/平",1室1厅,62.92平米,东南,简装,底层(共11层),2003年,烟树园,世纪城,https://bj.lianjia.com/ershoufang/101133085784.html
北京,西城区 二环 16号线 08年小区 考拉社区,299,"66,268元/平",1室1厅,45.12平米,西,简装,低楼层(共21层),塔楼,信德园二期（考拉社区）,菜户营,https://bj.lianjia.com/ershoufang/101129789509.html
北京,禾香雅园二期三居双卫大三居全明格局好楼层看房方便,299,"26,538元/平",3室1厅,112.67平米,南 北,精装,高楼层(共11层),板楼,禾香雅园二期,长阳,https://bj.lianjia.com/ershoufang/101131061508.html
