标题,总价(万),单价(元/平),户型,面积(平),朝向,楼层,年份,小区,区域,链接
南庭新苑北区 东向一居室  有房本 看房方便,130,"25,784元/平",1室1厅,50.42平米,东,15层,2012年,南庭新苑北区,新宫,https://bj.lianjia.com/ershoufang/101134004285.html
首付50万以内就够 ，H户型，视野好，采光佳，诚心,285,"31,182元/平",2室1厅,91.4平米,东 西,高楼层(共28层),2009年,新通国际花园,梨园,https://bj.lianjia.com/ershoufang/101133002812.html
雅善园 南向两居室 业主诚心出售,108,"13,438元/平",2室1厅,80.37平米,南,高楼层(共15层),板楼,雅善园,南中轴机场商务区,https://bj.lianjia.com/ershoufang/101133206464.html
崔村二里双卧朝南两居中间楼层上下楼方便,99,"19,344元/平",2室1厅,51.18平米,南,中楼层(共5层),板楼,崔村二里,杜家坎,https://bj.lianjia.com/ershoufang/101134121052.html
朝阳公园西里北区 3室1厅 南 北,360,"48,323元/平",3室1厅,74.5平米,南 北,高楼层(共6层),1993年,朝阳公园西里北区,农展馆,https://bj.lianjia.com/ershoufang/101131390795.html
,,,,,,,,,,
京品小区 地铁8号线 南北通透 户型好 无浪费,385,"45,215元/平",2室1厅,85.15平米,南 北,6层,2005年,京品小区,西罗园,https://bj.lianjia.com/ershoufang/101132761626.html
龙湖滟澜新宸东区 3室1厅 南 北,298,"31,428元/平",3室1厅,94.82平米,南 北,高楼层(共13层),板楼,龙湖滟澜新宸东区,沙河,https://bj.lianjia.com/ershoufang/101124995140.html
世纪城总价特低一居室 户型方正 有钥匙 不临街安静,415,"65,957元/平",1室1厅,62.92平米,东南,底层(共11层),2003年,烟树园,世纪城,https://bj.lianjia.com/ershoufang/101133085784.html
西城区 二环 16号线 08年小区 考拉社区,299,"66,268元/平",1室1厅,45.12平米,西,低楼层(共21层),塔楼,信德园二期（考拉社区）,菜户营,https://bj.lianjia.com/ershoufang/101129789509.html
禾香雅园二期三居双卫大三居全明格局好楼层看房方便,299,"26,538元/平",3室1厅,112.67平米,南 北,高楼层(共11层),板楼,禾香雅园二期,长阳,https://bj.lianjia.com/ershoufang/101131061508.html
精装修采光好中间位置，看房方便，小区安静,309,"52,021元/平",2室1厅,59.4平米,南 北,高楼层(共6层),板楼,竹园,马连洼,https://bj.lianjia.com/ershoufang/101129485557.html
首座御园一区二期 3室2厅 西南,278,"23,540元/平",3室2厅,118.1平米,西南,顶层(共12层),2015年,首座御园一区二期,枣园,https://bj.lianjia.com/ershoufang/101133746206.html
金兴苑 2室1厅 西 北,230,"38,598元/平",2室1厅,59.59平米,西 北,30层,2006年,金兴苑,菜户营,https://bj.lianjia.com/ershoufang/101133761882.html
长桥园公寓 经典南北向三居 房子交通便利 购物方便,333,"28,199元/平",3室1厅,118.09平米,南 北,中楼层(共12层),2002年,长桥园公寓,通州北苑,https://bj.lianjia.com/ershoufang/101132993614.html
华龙小区 3室1厅 南 北,218,"22,554元/平",3室1厅,96.66平米,南 北,中楼层(共6层),1998年,华龙小区,潞苑,https://bj.lianjia.com/ershoufang/101131556938.html
光织谷东区 南北通透 客户通阳台 看房随时,200,"21,766元/平",2室1厅,91.89平米,南 北,中楼层(共7层),2013年,世嘉光织谷东区,怀柔,https://bj.lianjia.com/ershoufang/101134133882.html
世嘉光织谷西区 眼睛户型两居室,190,"20,041元/平",2室1厅,94.81平米,南,中楼层(共5层),2012年,世嘉光织谷西区,怀柔,https://bj.lianjia.com/ershoufang/101131762322.html
