标题,总价,单价,户型,面积,朝向,小区,区域,链接
,155,"20,848元/平",2室1厅,74.35平米,南 北,南竺园,首都机场,https://bj.lianjia.com/ershoufang/101131089695.html
,285,"31,182元/平",2室1厅,91.4平米,东 西,新通国际花园,梨园,https://bj.lianjia.com/ershoufang/101133002812.html
,130,"25,784元/平",1室1厅,50.42平米,东,南庭新苑北区,新宫,https://bj.lianjia.com/ershoufang/101134004285.html
,255,"43,192元/平",2室1厅,59.04平米,南 北,高家园五区,酒仙桥,https://bj.lianjia.com/ershoufang/101132530548.html
,305,"73,406元/平",1室1厅,41.55平米,南 北,慧忠北里第二社区,亚运村,https://bj.lianjia.com/ershoufang/101134074081.html
,229,"44,141元/平",1室1厅,51.88平米,南 北,建新南区,顺义城,https://bj.lianjia.com/ershoufang/101133910837.html
,122,"24,528元/平",1室0厅,49.74平米,西,蓝星花园,后沙峪,https://bj.lianjia.com/ershoufang/101133834973.html
,165,"15,970元/平",3室1厅,103.32平米,南 北,碧桂园小区二区,长阳,https://bj.lianjia.com/ershoufang/101130063695.html
,460,"90,730元/平",2室1厅,50.7平米,东,北礼士路北区,车公庄,https://bj.lianjia.com/ershoufang/101133618308.html
,980,"61,791元/平",3室2厅,158.6平米,南 北,鹿港嘉苑,望京,https://bj.lianjia.com/ershoufang/101132496055.html
,137,"22,983元/平",2室1厅,59.61平米,南 北,南竺园,首都机场,https://bj.lianjia.com/ershoufang/101133416295.html
,709,"126,157元/平",2室1厅,56.2平米,东南,裕中东里,马甸,https://bj.lianjia.com/ershoufang/101132354102.html
,228,"25,656元/平",2室1厅,88.87平米,南 北,顶秀美泉小镇B区,怀柔,https://bj.lianjia.com/ershoufang/101133160259.html
,220,"62,804元/平",1室1厅,35.03平米,南,学院南路32号院,小西天,https://bj.lianjia.com/ershoufang/101129051158.html
,128,"128,000元/平",1室0厅,10平米,东,韩家胡同,宣武门,https://bj.lianjia.com/ershoufang/101134352867.html
,99,"22,843元/平",1室1厅,43.34平米,北,新光大中心,万达,https://bj.lianjia.com/ershoufang/101134209127.html
,93,"11,715元/平",2室2厅,79.39平米,南 北,育新花园北里,大兴新机场洋房别墅区,https://bj.lianjia.com/ershoufang/101131915380.html
,426,"91,831元/平",2室1厅,46.39平米,东,安德路乙61号院,安定门,https://bj.lianjia.com/ershoufang/101131780663.html
,998,"62,998元/平",3室2厅,158.42平米,东南,华亭嘉园,健翔桥,https://bj.lianjia.com/ershoufang/101133221138.html
,140,"25,907元/平",1室1厅,54.04平米,南,小街之春,临河里,https://bj.lianjia.com/ershoufang/101133431058.html
,640,"56,254元/平",3室2厅,113.77平米,南 北,京投银泰万科西华府,科技园区,https://bj.lianjia.com/ershoufang/101130034408.html
,118,"12,094元/平",3室1厅,97.57平米,南 北,中冶蓝城东区,城关,https://bj.lianjia.com/ershoufang/101117631551.html
,216,"24,644元/平",3室1厅,87.65平米,东 西,北街家园六区,沙河,https://bj.lianjia.com/ershoufang/101132973887.html
,135,"22,561元/平",2室2厅,59.84平米,南 北,富乐社区一号院,怀柔,https://bj.lianjia.com/ershoufang/101134193688.html
,445,"79,907元/平",2室1厅,55.69平米,南 北,北河沿大街,灯市口,https://bj.lianjia.com/ershoufang/101133166845.html
,82,"14,558元/平",1室1厅,56.33平米,南,板桥南街7号院,顺义其它,https://bj.lianjia.com/ershoufang/101132717971.html
,598,"61,102元/平",3室1厅,97.87平米,东南,慧忠北里,亚运村,https://bj.lianjia.com/ershoufang/101132144403.html
,237,"42,974元/平",2室1厅,55.15平米,西 东,八里庄北里小区,石佛营,https://bj.lianjia.com/ershoufang/101132142213.html
,270,"45,779元/平",2室1厅,58.98平米,东 西,和平西街,和平里,https://bj.lianjia.com/ershoufang/101134334546.html
,245,"39,909元/平",2室1厅,61.39平米,东北,延静西里,红庙,https://bj.lianjia.com/ershoufang/101129766630.html
