城市,区域,标题,总价(万),单价(元/平),户型,面积(平),朝向,装修,楼层,年份,小区,链接
bj,全市,南竺园 2室1厅 南 北,155,"20,848元/平",2室1厅,74.35平米,南 北,其他,中楼层(共6层),1995年,南竺园,https://bj.lianjia.com/ershoufang/101131089695.html
bj,全市,首付50万以内就够 ，H户型，视野好，采光佳，诚心,285,"31,182元/平",2室1厅,91.4平米,东 西,简装,高楼层(共28层),2009年,新通国际花园,https://bj.lianjia.com/ershoufang/101133002812.html
bj,全市,南庭新苑北区 东向一居室  有房本 看房方便,130,"25,784元/平",1室1厅,50.42平米,东,简装,15层,2012年,南庭新苑北区,https://bj.lianjia.com/ershoufang/101134004285.html
bj,全市,高家园五区 2室1厅 南 北,255,"43,192元/平",2室1厅,59.04平米,南 北,精装,高楼层(共6层),1994年,高家园五区,https://bj.lianjia.com/ershoufang/101132530548.html
bj,全市,此房满五唯一商品房，一层，南北通透，不临街,305,"73,406元/平",1室1厅,41.55平米,南 北,其他,底层(共9层),板楼,慧忠北里第二社区,https://bj.lianjia.com/ershoufang/101134074081.html
bj,全市,蓝星花园 1室0厅 西,122,"24,528元/平",1室0厅,49.74平米,西,其他,高楼层(共11层),2006年,蓝星花园,https://bj.lianjia.com/ershoufang/101133834973.html
bj,全市,碧桂园小区二区 满五唯一，采光好，户型方正,165,"15,970元/平",3室1厅,103.32平米,南 北,简装,高楼层(共6层),2004年,碧桂园小区二区,https://bj.lianjia.com/ershoufang/101130063695.html
bj,全市,北礼士路北区 2室1厅 东,460,"90,730元/平",2室1厅,50.7平米,东,精装,中楼层(共16层),板塔结合,北礼士路北区,https://bj.lianjia.com/ershoufang/101133618308.html
bj,全市,鹿港嘉苑 3室2厅 南 北,980,"61,791元/平",3室2厅,158.6平米,南 北,精装,低楼层(共22层),2007年,鹿港嘉苑,https://bj.lianjia.com/ershoufang/101132496055.html
bj,全市,南竺园 2室1厅 南 北,137,"22,983元/平",2室1厅,59.61平米,南 北,简装,底层(共6层),1994年,南竺园,https://bj.lianjia.com/ershoufang/101133416295.html
bj,全市,随时签约 双卧朝南 采光无遮挡视野好 随时看房,709,"126,157元/平",2室1厅,56.2平米,东南,精装,中楼层(共6层),板楼,裕中东里,https://bj.lianjia.com/ershoufang/101132354102.html
bj,全市,怀柔 科学城 顶秀美泉小镇B区 电梯 两居室 精装,228,"25,656元/平",2室1厅,88.87平米,南 北,精装,中楼层(共5层),2015年,顶秀美泉小镇B区,https://bj.lianjia.com/ershoufang/101133160259.html
bj,全市,此房满五年，南向，视野宽阔 业主诚心出售 看房方便,220,"62,804元/平",1室1厅,35.03平米,南,简装,高楼层(共6层),板楼,学院南路32号院,https://bj.lianjia.com/ershoufang/101129051158.html
bj,全市,韩家胡同 1室0厅 东,128,"128,000元/平",1室0厅,10平米,东,精装,底层(共1层),1980年,韩家胡同,https://bj.lianjia.com/ershoufang/101134352867.html
bj,全市,新光大中心 1室1厅 北,99,"22,843元/平",1室1厅,43.34平米,北,精装,中楼层(共29层),2016年,新光大中心,https://bj.lianjia.com/ershoufang/101134209127.html
bj,全市,育新花园北里 2室2厅 南 北,93,"11,715元/平",2室2厅,79.39平米,南 北,其他,低楼层(共18层),2014年,育新花园北里,https://bj.lianjia.com/ershoufang/101131915380.html
bj,全市,东城区，有电梯，安德路乙61号院,426,"91,831元/平",2室1厅,46.39平米,东,精装,中楼层(共14层),塔楼,安德路乙61号院,https://bj.lianjia.com/ershoufang/101131780663.html
bj,全市,华亭嘉园观景三居室户型方正无浪费看房方便,998,"62,998元/平",3室2厅,158.42平米,东南,简装,32层,2000年,华亭嘉园,https://bj.lianjia.com/ershoufang/101133221138.html
bj,全市,小街之春 1室1厅 南,140,"25,907元/平",1室1厅,54.04平米,南,简装,中楼层(共6层),2005年,小街之春,https://bj.lianjia.com/ershoufang/101133431058.html
bj,全市,京投银泰万科西华府 精装修南北三居室 高楼层,640,"56,254元/平",3室2厅,113.77平米,南 北,精装,高楼层(共26层),2017年,京投银泰万科西华府,https://bj.lianjia.com/ershoufang/101130034408.html
